Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation
5.2.2026;06:00;2;NACHT;-345.60
5.2.2026;06:15;2;NACHT;-301.70
5.2.2026;06:30;2;NACHT;-257.47
5.2.2026;06:45;2;NACHT;-213.10
5.2.2026;07:00;2;NACHT;-168.75
5.2.2026;07:15;2;NACHT;-124.55
5.2.2026;07:30;2;NACHT;-80.54
5.2.2026;07:45;2;NACHT;-36.06
5.2.2026;08:00;0;-;11.71
5.2.2026;08:15;0;-;49.01
5.2.2026;08:30;0;-;87.18
5.2.2026;08:45;0;-;124.84
5.2.2026;09:00;0;-;161.33
5.2.2026;09:15;0;-;196.34
5.2.2026;09:30;0;-;229.63
5.2.2026;09:45;0;-;261.03
5.2.2026;10:00;0;-;290.38
5.2.2026;10:15;0;-;317.53
5.2.2026;10:30;0;-;342.37
5.2.2026;10:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);364.77
5.2.2026;11:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);384.65
5.2.2026;11:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);401.92
5.2.2026;11:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);416.49
5.2.2026;11:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);428.30
5.2.2026;12:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);437.31
5.2.2026;12:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);443.47
5.2.2026;12:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);446.76
5.2.2026;12:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);447.16
5.2.2026;13:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);444.67
5.2.2026;13:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);439.31
5.2.2026;13:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);431.09
5.2.2026;13:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);420.05
5.2.2026;14:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);406.25
5.2.2026;14:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);389.73
5.2.2026;14:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);370.57
5.2.2026;14:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);348.87
5.2.2026;15:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);324.70
5.2.2026;15:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);298.19
5.2.2026;15:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);269.45
5.2.2026;15:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);238.62
5.2.2026;16:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);205.86
5.2.2026;16:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);171.32
5.2.2026;16:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);135.24
5.2.2026;16:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);97.87
5.2.2026;17:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);59.79
5.2.2026;17:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);22.03
5.2.2026;17:30;2;NACHT;-22.67
5.2.2026;17:45;2;NACHT;-68.01
5.2.2026;18:00;2;NACHT;-111.97
5.2.2026;18:15;2;NACHT;-156.07
5.2.2026;18:30;2;NACHT;-200.34
5.2.2026;18:45;2;NACHT;-244.66
5.2.2026;19:00;2;NACHT;-288.89
5.2.2026;19:15;2;NACHT;-332.84
5.2.2026;19:30;2;NACHT;-376.32
5.2.2026;19:45;2;NACHT;-419.16
5.2.2026;20:00;2;NACHT;-461.18